City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,244,Mount Isa,AU,77.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
72,256,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
73,257,Saint George,US,75.2,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,260,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
75,261,Buala,SB,84.94,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
76,269,Zemio,CF,75.42,broken clouds,5.0314,25.1361,OCHA Office
77,272,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
78,273,Majene,ID,78.71,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
79,274,Omboue,GA,76.75,overcast clouds,-1.5746,9.2618,Hotel Olako
80,276,Diamantino,BR,77.32,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
82,278,Garissa,KE,80.37,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
84,290,Maragogi,BR,78.91,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
85,291,Buchanan,LR,79.07,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
87,296,Sechura,PE,79.27,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
88,309,San Juan,AR,77.4,broken clouds,-31.5375,-68.5364,Hotel Provincial
89,310,Caravelas,BR,77.23,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
90,317,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
91,318,Nouakchott,MR,75.2,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
93,329,Balsas,BR,75.83,overcast clouds,-7.5325,-46.0356,Novo Hotel
94,333,Tutoia,BR,79.27,broken clouds,-2.7619,-42.2744,Pousada Guará's
95,341,Bani,DO,81.0,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
97,348,Half Moon Bay,US,75.2,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
98,359,Pangkalanbuun,ID,75.04,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
99,363,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
100,366,Ahuimanu,US,82.4,few clouds,21.4447,-157.8378,Paradise Bay Resort
101,367,Bandarbeyla,SO,76.26,scattered clouds,9.4942,50.8122,JABIR HOTEL
102,368,Sao Joao Da Barra,BR,78.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
103,376,Merauke,ID,78.85,heavy intensity rain,-8.4667,140.3333,PC
104,380,Aden,YE,80.37,broken clouds,12.7794,45.0367,Sama Emirate Hotel
105,384,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
106,385,Bhum,IN,78.53,few clouds,18.4667,75.6667,धनंजय होम
107,388,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
108,389,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
109,393,Ferkessedougou,CI,83.64,few clouds,9.6,-5.2,Hotel Chateau
110,394,Srandakan,ID,77.76,overcast clouds,-7.9386,110.2506,Puri Brata
111,395,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
112,396,Namibe,AO,75.69,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
113,399,Neiafu,TO,84.2,scattered clouds,-18.65,-173.9833,Mystic Sands
114,401,Samarai,PG,80.98,light rain,-10.6167,150.6667,Nuli Sapi
115,406,Benguela,AO,78.64,clear sky,-12.5763,13.4055,Hotel Praia Morena
116,411,Riyadh,SA,80.6,clear sky,24.6877,46.7219,InterContinental Riyadh
118,418,Alenquer,BR,77.0,broken clouds,-1.9417,-54.7383,Josilene Castro
119,420,Kottagudem,IN,79.79,overcast clouds,17.55,80.6333,Hotel Surya Palace
120,421,Carora,VE,83.59,overcast clouds,10.1755,-70.0827,Hotel Irpinia
121,433,Neuquen,AR,78.8,clear sky,-38.9516,-68.0591,Hotel del Comahue
122,434,Alyangula,AU,83.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
123,439,Tecpan,GT,81.0,broken clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
124,440,Chino Valley,US,80.01,clear sky,34.7575,-112.4538,Primrose Inn & Suites
125,442,Abu Zabad,SD,79.86,broken clouds,12.35,29.25,حامد محمد نور
127,452,Vallehermoso,PH,78.46,overcast clouds,10.3349,123.3259,Vallehermoso's Centennial House
128,464,Yasothon,TH,87.01,broken clouds,15.75,104.1333,Ban Suan Varaphan
129,466,Lake Havasu City,US,86.0,clear sky,34.4839,-114.3224,Heat Hotel
130,475,Saint-Joseph,RE,77.0,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
131,476,Healdsburg,US,82.99,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
132,478,Port Blair,IN,81.01,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
134,480,Matamoros,MX,77.0,scattered clouds,25.5333,-103.25,Quinta Belem
135,482,Pahrump,US,75.2,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
