City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Atuona,PF,-9.8,-139.0333,81.1,80,49,16.55,scattered clouds
81,Hasaki,JP,35.7333,140.8333,57.2,72,75,5.75,broken clouds
82,Jimeta,NG,9.2833,12.4667,83.25,15,100,3.74,overcast clouds
83,Paamiut,GL,61.994,-49.6678,36.23,85,100,30.04,light rain
84,Kikwit,CD,-5.041,18.8162,71.69,82,69,2.46,broken clouds
85,Punta Arenas,CL,-53.15,-70.9167,48.2,87,0,12.66,clear sky
86,Nybro,SE,56.7446,15.9071,39.0,86,19,4.83,few clouds
87,Touros,BR,-5.1989,-35.4608,80.6,78,40,5.75,scattered clouds
88,Victoria,HK,22.2855,114.1577,79.0,86,96,1.01,overcast clouds
89,Ribeira Grande,PT,38.5167,-28.7,60.44,82,92,26.13,overcast clouds
90,Vao,NC,-22.6667,167.4833,74.14,82,100,27.51,light rain
91,Port-Cartier,CA,50.0334,-66.8654,25.0,80,90,20.71,snow
92,East London,ZA,-33.0153,27.9116,67.57,90,100,8.08,light rain
93,Butaritari,KI,3.0707,172.7902,82.18,79,59,13.8,light rain
94,Matara,LK,5.9485,80.5353,77.79,88,55,8.93,broken clouds
95,Waipawa,NZ,-41.4122,175.5153,61.0,72,90,21.85,overcast clouds
96,Hofn,IS,64.2539,-15.2082,42.01,66,0,5.7,clear sky
97,Yellowknife,CA,62.456,-114.3525,19.4,86,90,12.66,snow
98,Koygorodok,RU,60.445,50.9968,31.55,98,100,6.53,overcast clouds
99,Saskylakh,RU,71.9167,114.0833,-36.08,100,100,4.47,overcast clouds
100,Road Town,VG,18.4167,-64.6167,78.8,69,40,16.11,scattered clouds
101,Port Alfred,ZA,-33.5906,26.891,67.37,82,89,10.49,overcast clouds
102,Aksarka,RU,66.5606,67.7975,15.71,97,100,3.56,overcast clouds
103,Trincomalee,LK,8.5711,81.2335,80.87,76,2,17.05,clear sky
104,Vaini,TO,-21.2,-175.2,84.2,79,75,9.22,broken clouds
105,Yuncheng,CN,35.0231,110.9928,49.23,89,100,2.24,overcast clouds
106,Bartica,GY,6.4,-58.6167,80.6,74,20,13.8,few clouds
107,New Norfolk,AU,-42.7826,147.0587,60.01,70,100,1.59,overcast clouds
108,Abha,SA,18.2164,42.5053,62.6,39,0,0.13,clear sky
109,Chuy,UY,-33.6971,-53.4616,63.41,70,49,8.05,scattered clouds
110,Sikeston,US,36.8767,-89.5879,48.2,31,1,10.36,clear sky
111,Xuddur,SO,4.1213,43.8894,76.32,71,100,15.55,overcast clouds
112,Flinders,AU,-34.5833,150.8552,66.99,88,58,1.01,broken clouds
113,Bredasdorp,ZA,-34.5322,20.0403,62.6,72,100,5.75,overcast clouds
114,Nome,US,64.5011,-165.4064,1.99,66,1,6.91,clear sky
115,Hithadhoo,MV,-0.6,73.0833,83.28,77,42,17.6,scattered clouds
116,Rodrigues Alves,BR,-7.738,-72.6509,84.2,79,40,5.75,scattered clouds
117,La Ronge,CA,55.1001,-105.2842,51.8,40,100,6.91,overcast clouds
118,Jalu,LY,29.0331,21.5482,56.48,49,3,8.55,clear sky
119,Ihosy,MG,-22.4,46.1167,66.6,88,96,8.99,overcast clouds
120,Port Lincoln,AU,-34.7333,135.8667,73.54,50,0,7.74,clear sky
121,Tubuala,PA,9.5167,-79.0333,87.8,55,40,17.27,scattered clouds
122,Ranong,TH,9.9658,98.6348,78.12,92,100,13.38,overcast clouds
123,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,75,10.36,broken clouds
124,Coos Bay,US,43.3665,-124.2179,66.0,76,1,12.66,clear sky
125,Kiama,AU,-34.6833,150.8667,66.99,88,56,1.01,broken clouds
126,Korla,CN,41.7597,86.1469,46.26,47,99,17.69,overcast clouds
127,Bay Roberts,CA,47.5999,-53.2648,39.99,52,75,6.91,broken clouds
128,Bahia Blanca,AR,-38.7196,-62.2724,68.52,48,78,7.85,broken clouds
129,Maniitsoq,GL,65.4167,-52.9,23.65,93,100,20.04,snow
130,Esperance,AU,-33.8667,121.9,71.6,20,0,18.41,clear sky
131,College,US,64.8569,-147.8028,10.99,52,75,8.05,broken clouds
132,Le Pradet,FR,43.1066,6.0172,55.4,54,0,7.9,clear sky
133,Manokwari,ID,-0.8667,134.0833,78.98,80,100,3.78,overcast clouds
134,Makakilo City,US,21.3469,-158.0858,84.2,51,20,12.66,few clouds
135,Suntar,RU,62.1444,117.6319,-4.63,89,69,8.14,broken clouds
136,Saint-Georges,GD,12.0564,-61.7485,80.6,74,20,16.11,few clouds
137,Borba,BR,-4.3878,-59.5939,72.61,96,100,2.17,overcast clouds
138,Karratha,AU,-20.7377,116.8463,81.57,58,1,6.55,clear sky
139,North Bend,US,43.4065,-124.2243,66.0,76,1,12.66,clear sky
140,Hualmay,PE,-11.0964,-77.6139,71.55,77,41,12.1,scattered clouds
141,Isangel,VU,-19.55,169.2667,82.99,76,97,12.82,moderate rain
142,Norman Wells,CA,65.282,-126.8329,5.0,72,90,23.02,snow
143,Vallenar,CL,-28.5708,-70.7581,69.49,48,1,4.27,clear sky
144,Latung,PH,5.5,120.8833,82.22,80,100,11.99,overcast clouds
145,Oranjestad,AW,12.524,-70.027,80.6,74,20,24.16,few clouds
146,Khatanga,RU,71.9667,102.5,-38.63,100,35,3.91,scattered clouds
147,Iqaluit,CA,63.7506,-68.5145,-13.0,64,1,10.36,snow
148,Katsuura,JP,35.1333,140.3,60.01,72,75,4.61,broken clouds
149,Avera,US,33.194,-82.5271,55.4,24,1,14.97,clear sky
150,Kemijarvi,FI,66.7131,27.4306,22.8,96,89,1.39,overcast clouds
151,Bengkulu,ID,-3.8004,102.2655,75.69,90,95,10.18,light rain
152,Sur,OM,22.5667,59.5289,82.8,32,4,7.49,clear sky
153,Standerton,ZA,-26.9337,29.2415,57.0,87,3,3.96,clear sky
154,Point Pleasant,US,40.0832,-74.0682,48.0,36,40,18.41,scattered clouds
155,Chokurdakh,RU,70.6333,147.9167,-2.52,94,88,3.56,overcast clouds
156,Yumen,CN,40.2833,97.2,35.02,27,89,16.24,overcast clouds
157,Tarko-Sale,RU,64.9225,77.785,25.05,97,100,5.99,light snow
158,Yarmouth,US,41.7057,-70.2286,46.4,81,90,11.5,light rain
159,Santander,ES,43.4647,-3.8044,60.8,67,81,3.44,broken clouds
160,Red Wing,US,44.5625,-92.5338,45.0,24,1,3.44,clear sky
161,Casma,CL,-41.0082,-73.1244,62.6,67,90,5.75,overcast clouds
162,Klyuchi,RU,52.2667,79.1667,17.73,90,13,8.21,few clouds
163,Cherskiy,RU,68.75,161.3,-4.02,83,5,5.08,clear sky
164,Ancud,CL,-41.8697,-73.8203,59.0,82,90,4.61,overcast clouds
165,Aykhal,RU,66.0,111.5,-18.15,98,100,10.78,overcast clouds
166,Lethem,GY,3.3803,-59.7968,91.4,52,20,11.5,few clouds
167,Hit,IQ,33.6416,42.8251,65.84,26,98,7.54,overcast clouds
168,Waterfoot,GB,53.6929,-2.2525,37.0,83,3,8.57,clear sky
169,Carolina,PR,18.3808,-65.9574,80.6,69,40,17.27,scattered clouds
170,Lompoc,US,34.6391,-120.4579,75.0,35,0,19.57,clear sky
171,Muchkapskiy,RU,51.8513,42.4717,37.51,84,95,9.64,overcast clouds
172,Beboto,TD,8.2668,16.939,81.18,15,98,5.44,overcast clouds
173,Georgetown,MY,5.4112,100.3354,80.6,89,20,2.3,few clouds
174,Kaeo,NZ,-35.1,173.7833,72.0,74,12,3.0,few clouds
175,Los Algarrobos,PA,8.5,-82.4333,91.4,40,40,17.27,scattered clouds
176,Oussouye,SN,12.485,-16.5469,75.2,88,0,4.61,clear sky
177,Lazaro Cardenas,MX,17.9583,-102.2,85.42,51,0,10.42,clear sky
178,Leeton,AU,-34.5667,146.4,64.4,72,9,4.65,clear sky
179,Linxia,CN,35.6003,103.2064,34.3,97,100,3.11,snow
180,Alofi,NU,-19.0595,-169.9187,84.2,74,40,11.5,scattered clouds
181,Cayenne,GF,4.9333,-52.3333,80.6,74,0,8.05,clear sky
182,Jiuquan,CN,39.7432,98.5174,37.67,52,100,7.94,overcast clouds
183,Omsukchan,RU,62.5333,155.8,7.84,87,100,8.9,overcast clouds
184,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,40,3.44,light rain
185,Nikel,RU,69.4128,30.222,30.2,93,75,4.61,broken clouds
186,Klaksvik,FO,62.2266,-6.589,39.2,93,6,3.44,clear sky
187,Zunyi,CN,27.6867,106.9072,57.76,89,100,5.53,overcast clouds
188,Longyearbyen,SJ,78.2186,15.6401,28.4,74,75,9.22,broken clouds
189,Ponta Do Sol,PT,32.6667,-17.1,59.0,72,0,3.0,clear sky
190,Tynda,RU,55.1667,124.7167,20.52,94,100,1.41,overcast clouds
191,Manitouwadge,CA,49.1215,-85.8403,30.2,50,1,4.61,clear sky
192,Arlit,NE,18.7369,7.3853,73.98,10,0,8.39,clear sky
193,Souillac,MU,-20.5167,57.5167,78.8,89,40,3.44,light rain
194,Zeya,RU,53.75,127.2667,30.85,96,100,4.7,snow
195,Jalingo,NG,8.8833,11.3667,82.67,14,78,3.89,broken clouds
196,Zielona Gora,PL,51.9355,15.5064,45.0,42,100,9.8,overcast clouds
197,Batagay-Alyta,RU,67.8006,130.4114,-3.6,96,91,2.62,overcast clouds
198,Ambon,ID,-3.6954,128.1814,77.0,94,20,8.05,few clouds
199,Kieta,PG,-6.2167,155.6333,83.26,77,70,6.02,broken clouds
200,Asau,RO,46.4333,26.4,50.0,46,60,6.64,light rain
201,Teguldet,RU,57.3064,88.1667,21.49,83,100,12.19,overcast clouds
