City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Talnakh,RU,2021-03-29 15:31:39,69.4865,88.3972,-16.51,98,39,6.46
68,La Ronge,CA,2021-03-29 15:31:39,55.1001,-105.2842,26.6,93,100,14.97
69,Hrodna,BY,2021-03-29 15:31:39,53.6884,23.8258,48.2,76,90,8.95
70,Kuminskiy,RU,2021-03-29 15:31:39,58.6667,66.5667,12.87,94,22,4.14
71,Cairns,AU,2021-03-29 15:31:40,-16.9167,145.7667,78.8,69,29,12.66
72,Kavieng,PG,2021-03-29 15:31:40,-2.5744,150.7967,82.33,77,100,10.74
73,Panaba,MX,2021-03-29 15:31:40,21.2833,-88.2667,89.19,43,24,8.79
74,Banda Aceh,ID,2021-03-29 15:28:15,5.5577,95.3222,78.46,88,97,11.88
75,Chokurdakh,RU,2021-03-29 15:31:41,70.6333,147.9167,-3.96,99,99,4.54
76,Weston,US,2021-03-29 15:31:41,26.1004,-80.3998,86.0,62,88,6.6
77,Dalvik,IS,2021-03-29 15:31:41,65.9702,-18.5286,28.4,86,90,25.32
78,Hilo,US,2021-03-29 15:31:42,19.7297,-155.09,68.0,88,90,1.79
79,Carnarvon,AU,2021-03-29 15:31:42,-24.8667,113.6333,80.6,83,90,4.61
80,Lebu,CL,2021-03-29 15:31:42,-37.6167,-73.65,63.55,66,1,6.8
81,Sorong,ID,2021-03-29 15:31:43,-0.8833,131.25,80.08,80,100,4.0
82,Cape Town,ZA,2021-03-29 15:31:43,-33.9258,18.4232,82.4,32,0,4.61
83,Shimoda,JP,2021-03-29 15:31:44,34.6667,138.95,64.0,69,54,10.83
84,Hermanus,ZA,2021-03-29 15:31:44,-34.4187,19.2345,81.0,50,33,1.99
85,Gorom-Gorom,BF,2021-03-29 15:31:44,14.4439,-0.2361,97.54,6,0,9.89
86,Sitka,US,2021-03-29 15:31:44,57.0531,-135.33,35.6,75,90,6.91
87,Severodvinsk,RU,2021-03-29 15:31:45,64.5635,39.8302,46.4,53,0,8.95
88,Karaton,ID,2021-03-29 15:31:45,-6.3424,106.1045,84.0,83,40,3.44
89,Hasaki,JP,2021-03-29 15:31:45,35.7333,140.8333,60.8,94,66,3.44
90,Arraial Do Cabo,BR,2021-03-29 15:31:46,-22.9661,-42.0278,93.2,58,0,5.75
91,Shahgarh,IN,2021-03-29 15:31:46,24.3167,79.1333,88.66,10,0,4.61
92,Saint Anthony,US,2021-03-29 15:31:46,45.0205,-93.218,52.0,53,1,20.71
93,San Quintin,MX,2021-03-29 15:31:47,30.4833,-115.95,63.88,61,100,6.71
94,Kapaa,US,2021-03-29 15:28:22,22.0752,-159.319,73.4,78,90,14.97
95,Tumbes,PE,2021-03-29 15:31:47,-3.5667,-80.4414,84.2,58,0,3.44
96,Fairbanks,US,2021-03-29 15:31:47,64.8378,-147.7164,19.99,93,90,4.61
97,Kavaratti,IN,2021-03-29 15:31:48,10.5669,72.642,85.15,69,100,11.45
98,Broken Hill,AU,2021-03-29 15:31:48,-31.95,141.4333,62.6,48,0,9.22
99,Grand Gaube,MU,2021-03-29 15:31:48,-20.0064,57.6608,80.01,79,77,6.67
100,Pevek,RU,2021-03-29 15:31:49,69.7008,170.3133,-18.69,100,100,3.53
101,Yishui,CN,2021-03-29 15:31:49,35.7847,118.6281,52.86,30,87,1.9
102,Samarai,PG,2021-03-29 15:31:49,-10.6167,150.6667,81.63,80,90,10.31
103,Victoria,HK,2021-03-29 15:28:38,22.2855,114.1577,79.0,87,79,10.51
104,Saskylakh,RU,2021-03-29 15:31:50,71.9167,114.0833,-10.66,98,100,7.0
105,Sri Aman,MY,2021-03-29 15:31:50,1.2376,111.4621,77.0,94,100,0.67
106,Ballina,AU,2021-03-29 15:31:50,-28.8667,153.5667,68.0,94,90,6.91
107,Codrington,AU,2021-03-29 15:31:50,-38.2667,141.9667,52.07,80,33,4.07
108,Lompoc,US,2021-03-29 15:31:51,34.6391,-120.4579,55.0,100,0,7.54
109,Souillac,MU,2021-03-29 15:31:51,-20.5167,57.5167,78.8,94,40,3.44
110,Xaltianguis,MX,2021-03-29 15:31:51,17.0667,-99.8333,84.2,51,90,4.38
111,Martapura,ID,2021-03-29 15:31:52,-3.4167,114.85,80.6,94,75,5.75
112,Road Town,VG,2021-03-29 15:31:52,18.4167,-64.6167,82.0,74,40,14.97
113,Sal Rei,CV,2021-03-29 15:31:52,16.1833,-22.9167,75.2,57,75,23.02
114,Puerto Carreno,CO,2021-03-29 15:31:53,6.189,-67.4859,93.04,42,65,5.1
115,Fortuna,US,2021-03-29 15:31:53,40.5982,-124.1573,46.0,87,20,13.8
116,Sheridan,US,2021-03-29 15:31:53,44.8333,-106.9173,34.0,86,90,28.77
117,Chapada Dos Guimaraes,BR,2021-03-29 15:31:53,-15.4606,-55.7497,86.0,66,75,6.91
118,Saint-Philippe,RE,2021-03-29 15:31:54,-21.3585,55.7679,80.6,74,20,3.44
119,Severo-Kurilsk,RU,2021-03-29 15:31:54,50.6789,156.125,35.6,94,100,15.1
120,Chase,CA,2021-03-29 15:31:54,50.8165,-119.6857,33.8,32,12,17.27
121,Brookhaven,US,2021-03-29 15:31:55,31.5791,-90.4407,60.01,55,0,6.93
122,Nhulunbuy,AU,2021-03-29 15:31:55,-12.2333,136.7667,75.2,94,40,2.3
123,Obo,CF,2021-03-29 15:31:55,5.3998,26.4869,86.34,25,4,4.34
124,San Luis,AR,2021-03-29 15:31:56,-33.295,-66.3356,73.27,23,0,4.94
125,Nichinan,JP,2021-03-29 15:31:56,31.6,131.3667,58.32,80,0,3.24
126,Tanout,NE,2021-03-29 15:31:56,14.9709,8.8879,89.15,5,0,17.52
127,Comodoro Rivadavia,AR,2021-03-29 15:30:02,-45.8667,-67.5,68.0,52,0,9.22
128,Dogondoutchi,NE,2021-03-29 15:31:57,13.6393,4.0287,98.56,7,8,11.14
129,Tiksi,RU,2021-03-29 15:31:57,71.6872,128.8694,4.35,99,100,2.21
